"('method', 'dependency', 'class')",T
"('method', 'dependency', 'method')",T
"('method', 'dependency', 'interface')",T
"('class', 'conversion', 'class')",T
"('method', 'conversion', 'class')",F
"('class', 'preference', 'class')",T
"('method', 'preference', 'method')",T
"('class', 'implementation', 'class')",T
"('class', 'implementation', 'interface')",T
"('interface', 'implementation', 'method')",F
"('class', 'collaboration', 'class')",T
"('method', 'collaboration', 'method')",T
"('class', 'containment', 'class')",T
"('class', 'containment', 'method')",T
"('class', 'containment', 'package')",F
"('interface', 'containment', 'method')",T
"('interface', 'containment', 'interface')",T
"('package', 'containment', 'class')",T
"('class', 'modification', 'method')",T
"('method', 'modification', 'class')",T
"('class', 'containment', 'class')",T
"('class', 'containment', 'method')",T
"('method', 'containment', 'class')",F
"('class', 'difference', 'class')",T
"('method', 'difference', 'method')",T
"('class', 'execution', 'method')",F
"('method', 'execution', 'class')",T
"('method', 'execution', 'method')",T
"('class', 'access', 'method')",T
"('method', 'access', 'class')",T
"('interface', 'access', 'method')",T
"('interface', 'access', 'interface')",T
"('method', 'limitation', 'class')",T
"('method', 'limitation', 'method')",T
"('method', 'equivalence', 'method')",T
