"The AtomicBoolean class provides you with a boolean variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().",[]
The Java Reader is the base class of all Reader's in the Java IO API.,[]
The read() method of a Java BufferedReader returns an int which contains the char value of the next character read.,[]
"Second, if the lock is locked, the threads are blocked in the wait() call inside the while(isLocked) loop in the lock() method.",[]
"The method compareAndSet() allows you to compare the current value of the AtomicBoolean to an expected value, and if current value is equal to the expected value, a new value can be set on the AtomicBoolean.",[]
The executeQuery() method is used if the stored procedure returns a ResultSet.,[]
Here is an example of flushing data written to a Java BufferedWriter by calling its flush() method:,[]
"A class can have more than one constructor, although this example just shows one.",[]
Here is an example of removing the first element from a Java Deque using the pollFirst() method:,[]
The anonymous class subclasses (extends) SuperClass and overrides the doIt() method.,[]
"To obtain the result, you call one of the two get() methods on the Future.",[]
Java NIO has more classes and components than these but the Channel Buffer and Selector forms the core of the API in my opinion,"[('channel', 'function collaboration', 'buffer'), ('channel', 'function collaboration', 'selector'), ('buffer', 'function collaboration', 'selector')]"
The Java AtomicLongArray class (java.util.concurrent.atomic.AtomicLongArray) represents an array of long .,[]
"The Java Integer class implements the Comparable interface, so you can call compareTo() Here is an example:","[('integer', 'implement constraint', 'comparable')]"
"There is no package and class name to disturb you when reading the script, and whenever you need the default function all you need to write is ""default(a, b)"", instead of ""com.myapp.util.Util.default(a, b)"".",[]
"The Java SortedSet interface has a method named setSet() which returns another SortedSet with all elements that are greater than or equal to (tailing) a given parameter value, according to the sort order used by the SortedSet.",[]
Deque.pollLast() is different than removeLast() which throws an exception if the Deque is empty,"[('deque.polllast', 'behavior difference', 'deque.removelast')]"
To decrypt data you would have passed cipher text (encrypted data) into the doFinal() or doUpdate() method instead.,"[('dofinal', 'efficiency comparison', 'doupdate')]"
As you saw in the previous section when you register a Channel with a Selector the register() method returns a SelectionKey objects,[]
You can use addBatch() and executeBatch() methods to execute batch updates.,[]
To add an element at the beginning (head) instead of the end of a Java Deque you call the addFirst() method instead.,"[('deque', 'implement constraint', 'addfirst')]"
Here are two examples of taking an element from a Java Queue using its poll() and remove() methods:,"[('poll', 'behavior difference', 'remove')]"
a stop() or pause() method too) then you can no longer create your Runnable implementation with a Java lambda expression,[]
Please keep in mind that if your Runnable implementation needs more than just the run() method (e.g.,"[('runnable', 'implement constraint', 'run')]"
"Once the try block is exited, the close() method of the BufferedOutputStream is called automatically, because the BufferedOutputStream was declared inside the parentheses of the try block.",[]
"If the Deque is empty, pollFirst() returns null. This is different than removeFirst() which throws an exception if the Deque is empty.","[('pollfirst', 'behavior difference', 'removefirst')]"
In this example a java.util.ArrayList() instance is created inside the call to setSomeList().,[]
"If the Deque is empty, pollLast() returns null. This is different than removeLast() which throws an exception if the Deque is empty.","[('polllast', 'behavior difference', 'removelast')]"
"If the class is marked with the default access modifier, then no other class outside the same Java package can access that class, including its constructors, fields and methods.",[]
"Here is the Car class from before with a single, simple method named getBrand added:",[]
java.awt.List is the last line of this example that calls the List stream() method to obtain the Stream representing the elements in the List,"[('java.awt.list', 'type conversion', 'stream')]"
"When you divide classes into multiple Java packages, it becomes easier to figure out where a certain class you are looking for is.",[]
Here is an example of writing a cyclic object graph to RION using the RionObjectWriter writeCyclic() method.,[]
"It is now up to the caller of the readMyData() method to decide if an existing MyData instance should be reused, or if a new instance should be created.",[]
Nested Classes and Inheritance The same Java inheritance rules apply to nested classes.,[]
"The formatted() method is only a preview feature that was added together with Java Text Blocks in Java 13, so we do not yet know if it will stay in.",[]
The missed signals problems is the reason that the FairLock implementation shown in the text Starvation and Fairness has turned the QueueObject class into a semaphore with two methods: doWait() and doNotify().,"[('dowait', 'function collaboration', 'donotify')]"
"Then the example calls Files.copy(), passing the two Path instances as parameters.",[]
"After running this Java code the isEmpty variable will contain the value true, because the Set size() method returns 0 - because the Set in the example contains no elements.",[]
"The comparison follows the rules for the Comparable interface, meaning the compareTo() method returns:","[('comparable', 'implement constraint', 'compareto')]"
