Type Triple
"('class', 'containment', 'class')"
"('method', 'limitation', 'class')"
"('method', 'limitation', 'method')"
"('class', 'difference', 'class')"
"('method', 'equivalence', 'method')"
"('class', 'execution', 'method')"
"('method', 'execution', 'method')"
"('method', 'difference', 'method')"
"('method', 'creation', 'class')"
"('method', 'collaboration', 'method')"
"('class', 'containment', 'method')"
"('class', 'preference', 'class')"
"('class', 'modification', 'method')"
"('class', 'conversion', 'class')"
"('class', 'collaboration', 'class')"
"('class', 'implementation', 'interface')"
"('method', 'preference', 'method')"
"('method', 'dependency', 'method')"
"('class', 'creation', 'method')"
"('class', 'implementation', 'class')"
