"Given a struct type S and a type named T, promoted methods are included in the method set of the struct as follows:",""
"We saw this with type aliases as well (and resisted almost all the proposed cut-outs, thankfully).",
"This means that taking the address of a composite literal, e.g",
"As an exception to the addressability requirement, x [in the expression of &x] may also be a (possibly parenthesized) composite literal.",
"When we attempt to assign a value of MyType to a variable of type Stringer, we get the error in question:","(MyType, imposes restrictions when assigned to, Stringer)"
In the background an array of [1]int64 will also be allocated and used as the backing array for the slice,
"So if the struct literal contains a field of type int64, we can also take the address of that field!",
"But if so, another requirement will become available to us: ""field selector of an addressable struct operand""",
"But we can omit the ""outer"" parenthesis as the address operator & is applied to the result of the selector expression.",
"But a slice value is a header, describing a contiguous section of a backing array, and a slice value only contains a pointer to the array where the elements are actually stored",
"The principle is the same as with case #6, but we can also use an anonymous struct literal, so no helper/wrapper struct type definition needed:",
"For details, see Is returning a slice of a local array in a Go function safe?",
"This means the String() method is in the method set of the *MyType type, but not in that of MyType.","(String(), not in method set of, MyType); (*MyType, differs from, MyType)"
"In these cases you can provide a helper function (or method) which will discard the error (or raise a runtime panic if it still occurs).
This can be the case if you provide the input values for a function from code, and you know they work.
Great examples of this are the template and regexp packages: if you provide a valid template or regexp at compile time, you can be sure they can always be parsed without errors at runtime","(template, similar behavior to, regexp)"
"Attempting to convert instead of type assert, we get the compile-time error we're talking about:","(type, imposes restriction, compile-time error)"
"To see what's in a slice header, check out the reflect.SliceHeader type:","(reflect.SliceHeader, is related to, slice)"
"There is a very similar case, namely when you have an interface value which wraps a value of MyType, and you try to type assert another interface value from it, Stringer",
"Note: Go 1.18 (Q1 2022) does rename interface{} to any (alias for interface{}).
See issue 49884, CL 368254 and commit 2580d0e.
See the last part of this answer.",""
"When using structs and embedding, often it's not ""you"" that implement an interface (provide a method implementation), but a type you embed in your struct",
We can use reflection (reflect package) to access the tag values of struct fields,
"Since there is no implements keyword, all types implement at least zero methods, and satisfying an interface is done automatically, therefore all types satisfy the empty interface.
That means that if you write a function that takes an interface{} value as a parameter, you can supply that function with any value.",
"The _ used as a name of the variable tells the compiler to effectively discard the RHS value, but to type-check it and evaluate it if it has any side effects, but the anonymous variable per se doesn't take any process space.",
It is a handy construct when developing and the method set of an interface and/or the methods implemented by a type are frequently changed,
"Note: Helper functions to acquire a pointer to a non-zero value are available in my github.com/icza/gox library, in the gox package, so you don't have to add these to all your projects where you need it.",
"Also, whatever we embed (either MyType or *MyType), if we use a pointer *MyType2, it will always work (try it on the Go Playground):",""
That signal channel is used to push a value into when you want the goroutine to stop,
